Name,SF_TotalPop,SF_NIPOP,SF_PTDWELL,SF_PODWELL_UR,LF_POP_PRIV,LF_Households
OEYCFC - 26 (Half Moon Bay/Stonebridge),31630,31615,10255,10085,31495,10085
OEYCFC - 37 (Orleans South),35495,35220,12855,12635,35035,12635
OEYCFC - 32 (Metcalfe/Osgoode/Greely),24215,24000,8635,8470,24170,8465
OEYCFC - 39 (Ottawa North East),22500,22185,10905,10370,21845,10365
OEYCFC - 40 (Ottawa South),8740,8735,3550,3385,8615,3385
OEYCFC - 41 (Ottawa West),25365,25085,13515,12605,24900,12605
OEYCFC - 42 (Overbrook),10265,10260,4800,4510,10125,4510
OEYCFC - 43 (Pinecrest/Queensway),32815,32750,16065,15390,32485,15390
OEYCFC - 46 (Rideau),14710,14615,5600,5445,14610,5445
OEYCFC - 50 (Vanier),17765,17405,10560,9490,17330,9495
OEYCFC - 51 (Westboro),8755,8570,4160,3935,8610,3935
OEYCFC - 9 (Cardinal Creek/Fallingbrook),30305,30290,11120,10880,30180,10880
OEYCFC - 12 (Carlsbad Springs/Findlay Creek),24065,24040,8055,7865,23775,7865
OEYCFC - 13 (Carp/Fitzroy/Kinburn),15560,15485,5880,5730,15415,5730
OEYCFC - 15 (Chapman Mills/Rideau Crest),30810,30440,10355,9885,30175,9885
OEYCFC - 16 (Chatelaine/Convent Glen),19800,19390,8090,7865,18990,7870
OEYCFC - 17 (Clementine/Riverside Park),8860,8630,4310,4070,8600,4070
OEYCFC - 18 (Constance Bay/Dunrobin),10750,10750,4295,4020,10810,4025
OEYCFC - 20 (Cumberland/Navan/Vars),13000,12830,4840,4715,12810,4715
OEYCFC - 24 (Glencairn),16280,16205,6010,5880,16115,5885
OEYCFC - 25 (Goulbourn/Munster/Richmond),11050,11030,4145,4075,11110,4075
OEYCFC - 6 (Blackburn Hamlet/Mer Bleue),9170,8590,3400,3335,8385,3335
OEYCFC - 35 (New Edinburgh/Rockcliffe Park),7530,7060,3555,3240,6930,3245
OEYCFC - 36 (Old Barrhaven),40060,39840,14225,14045,39845,14040
OEYCFC - 44 (Portobello South),29975,29970,10125,9980,29860,9975
OEYCFC - 45 (Queenswood Heights),10655,10645,4160,4100,10600,4105
OEYCFC - 47 (Riverside South),12580,12575,4360,4280,12575,4280
OEYCFC - 27 (Hawthorne Meadows/Riverview),20270,19600,9565,9065,19430,9065
OEYCFC - 48 (South March),15510,15505,5030,4950,15465,4950
OEYCFC - 49 (Stittsville),40555,40235,14395,14150,40225,14150
OEYCFC - 38 (Ottawa East/Sandy Hill),19375,19310,12060,10220,19165,10225
CHRC - 13 (Western Ottawa Community Resource Centre),173615,172645,63570,62145,172175,62145
CHRC - 7 (Pinecrest-Queensway Community Health Centre),50135,49660,23350,22425,49010,22420
CHRC - 1 (Carlington Community and Health Services),53365,52355,25330,23855,52065,23855
CHRC - 12 (Vanier Community Services Centre),17650,17415,10540,9470,17350,9470
CHRC - 6 (Orleans-Cumberland Community Resource Centre),88395,88180,32225,31515,87635,31520
CHRC - 4 (Lowertown Community Resource Centre),14795,13995,9085,7950,13815,7945
CHRC - 9 (Sandy Hill Community Health Centre),20095,19875,12580,10500,19605,10500
CHRC - 10 (Somerset West Community Health Centre),33385,32960,18650,17295,32580,17295
CHRC - 21 (Carleton University Campus),0,10,0,0,0,0
"CHRC - 5 (Nepean, Rideau and Osgoode Community Resource Centre)",219585,217615,80685,78445,216730,78445
CHRC - 11 (South-East Ottawa Community Health Centre),105170,104000,45000,42940,103750,42940
CHRC - 8 (Rideau-Rockcliffe Community Resource Centre),38185,37650,18315,17275,37150,17275
CHRC - 3 (Eastern Ottawa Resource Centre),151335,149440,56195,54875,148415,54870
CHRC - 2 (Centretown Community Health Centre),51735,51175,31595,28570,50690,28570
Ward - 14 (Somerset),40805,40330,28160,25155,39795,25155
Ward - 23 (Kanata South),49605,49180,18145,17900,48935,17900
Ward - 4 (Kanata North),42140,41900,15420,15030,41650,15030
Ward - 17 (Capital),37790,37475,19165,17560,37020,17565
Ward - 15 (Kitchissippi),37740,37270,19505,18240,37050,18245
Ward - 13 (Rideau-Rockcliffe),38605,38080,18440,17375,37440,17375
Ward - 1 (Orl̩ans East-Cumberland),49465,49395,18720,18240,48715,18240
Ward - 18 (Alta Vista),45030,44255,19785,18795,44020,18795
Ward - 16 (River),46710,45985,20585,19610,45935,19610
Ward - 7 (Bay),49615,49025,23180,22260,48465,22265
Ward - 9 (Knoxdale-Merivale),40335,40180,16230,15700,39820,15705
Ward - 6 (Stittsville),45560,45360,16205,15890,45210,15890
Ward - 19 (Orl̩ans South-Navan),49790,49065,16905,16600,49020,16600
Ward - 11 (Beacon Hill-Cyrville),34640,34125,13815,13455,34060,13450
Ward - 10 (Gloucester-Southgate),49065,48795,18645,18035,48930,18030
Ward - 8 (College),51985,50920,21735,20900,50325,20900
Ward - 5 (West Carleton-March),24760,24685,9485,9085,24815,9085
Ward - 2 (Orl̩ans West-Innes),46470,45855,17925,17655,45495,17655
Ward - 22 (Riverside South-Findlay Creek),32940,32930,10955,10730,32805,10730
Ward - 21 (Rideau-Jock),27455,27335,10360,10115,27195,10115
Ward - 12 (Rideau-Vanier),45870,44605,28560,24755,44260,24755
Ward - 20 (Osgoode),30190,29920,10985,10750,29960,10755
Ward - 24 (Barrhaven East),50595,50115,16775,16545,50200,16545
Ward - 3 (Barrhaven West),50290,50180,17430,16860,49835,16860
